City,Country,Lat,Lng,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
aguas belas,br,-9.11,-37.12,71.03,65,0,10.36
husavik,is,66.04,-17.34,59,77,75,16.11
lubbock,us,33.58,-101.86,92.55,33,1,14.99
sao desiderio,br,-12.36,-44.97,78.41,25,0,6.89
zatoka,ua,49.85,23.68,55.4,93,0,4.47
dicabisagan,ph,17.08,122.42,78.23,73,100,5.86
los llanos de aridane,es,28.66,-17.92,71.11,73,75,14.99
mto wa mbu,tz,-3.38,35.86,60.41,74,0,13.58
santiago,ph,16.69,121.54,75.89,79,100,4.92
fuyu,cn,47.79,124.46,66.89,84,1,2.37
show low,us,34.25,-110.03,89.78,22,20,14.99
treinta y tres,uy,-33.23,-54.39,52.67,86,0,7.14
eganville,ca,45.54,-77.1,81.18,44,1,9.73
tuy hoa,vn,13.08,109.3,72.65,91,100,4.32
ust-tsilma,ru,65.44,52.15,48.35,90,100,4.47
manzanillo,mx,19.05,-104.32,80.6,100,90,23.04
nhulunbuy,au,-12.18,136.78,69.8,83,40,9.17
nokaneng,bw,-19.66,22.19,57.53,34,0,4.29
kailua,us,21.39,-157.74,82.47,83,75,14.99
garoua,cm,9.31,13.39,89.6,59,20,2.24
trairi,br,-3.28,-39.27,74.99,78,56,4.5
pangoa,pe,-12.12,-73,68.15,97,98,2.53
yar-sale,ru,66.83,70.83,66.71,73,100,11.95
ormara,pk,25.21,64.64,80.03,81,17,7.2
witbank,za,-25.87,29.23,47.45,35,0,4.65
pamplona,es,42.82,-1.64,69.73,77,75,14.99
guadalajara,es,40.63,-3.16,87.22,22,0,1.12
